,div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Season,PredictedResult
9394,E0,18/11/17,Arsenal,Tottenham,2,0,H,2.0,0.0,H,2017-18,H
9395,E0,18/11/17,Bournemouth,Huddersfield,4,0,H,2.0,0.0,H,2017-18,H
9396,E0,18/11/17,Burnley,Swansea,2,0,H,2.0,0.0,H,2017-18,D
9397,E0,18/11/17,Crystal Palace,Everton,2,2,D,2.0,2.0,D,2017-18,A
9398,E0,18/11/17,Leicester,Man City,0,2,A,0.0,1.0,A,2017-18,D
9399,E0,18/11/17,Liverpool,Southampton,3,0,H,2.0,0.0,H,2017-18,H
9400,E0,18/11/17,Man United,Newcastle,4,1,H,2.0,1.0,H,2017-18,H
9401,E0,18/11/17,West Brom,Chelsea,0,4,A,0.0,3.0,A,2017-18,D
9402,E0,19/11/17,Watford,West Ham,2,0,H,1.0,0.0,H,2017-18,H
9403,E0,20/11/17,Brighton,Stoke,2,2,D,1.0,2.0,A,2017-18,D
9404,E0,24/11/17,West Ham,Leicester,1,1,D,1.0,1.0,D,2017-18,A
9405,E0,25/11/17,Crystal Palace,Stoke,2,1,H,0.0,0.0,D,2017-18,H
9406,E0,25/11/17,Liverpool,Chelsea,1,1,D,0.0,0.0,D,2017-18,D
9407,E0,25/11/17,Man United,Brighton,1,0,H,0.0,0.0,D,2017-18,H
9408,E0,25/11/17,Newcastle,Watford,0,3,A,0.0,2.0,A,2017-18,A
9409,E0,25/11/17,Swansea,Bournemouth,0,0,D,0.0,0.0,D,2017-18,A
9410,E0,25/11/17,Tottenham,West Brom,1,1,D,0.0,1.0,A,2017-18,H
9411,E0,26/11/17,Burnley,Arsenal,0,1,A,0.0,0.0,D,2017-18,A
9412,E0,26/11/17,Huddersfield,Man City,1,2,A,1.0,0.0,H,2017-18,A
9413,E0,26/11/17,Southampton,Everton,4,1,H,1.0,1.0,D,2017-18,H
9414,E0,28/11/17,Brighton,Crystal Palace,0,0,D,0.0,0.0,D,2017-18,A
9415,E0,28/11/17,Leicester,Tottenham,2,1,H,2.0,0.0,H,2017-18,A
9416,E0,28/11/17,Watford,Man United,2,4,A,0.0,3.0,A,2017-18,A
9417,E0,28/11/17,West Brom,Newcastle,2,2,D,1.0,0.0,H,2017-18,A
9418,E0,29/11/17,Arsenal,Huddersfield,5,0,H,1.0,0.0,H,2017-18,H
9419,E0,29/11/17,Bournemouth,Burnley,1,2,A,0.0,1.0,A,2017-18,H
9420,E0,29/11/17,Chelsea,Swansea,1,0,H,0.0,0.0,D,2017-18,H
9421,E0,29/11/17,Everton,West Ham,4,0,H,2.0,0.0,H,2017-18,H
9422,E0,29/11/17,Man City,Southampton,2,1,H,0.0,0.0,D,2017-18,H
9423,E0,29/11/17,Stoke,Liverpool,0,3,A,0.0,1.0,A,2017-18,H
9424,E0,2/12/2017,Arsenal,Man United,1,3,A,0.0,2.0,A,2017-18,H
9425,E0,2/12/2017,Brighton,Liverpool,1,5,A,0.0,2.0,A,2017-18,A
9426,E0,2/12/2017,Chelsea,Newcastle,3,1,H,2.0,1.0,H,2017-18,H
9427,E0,2/12/2017,Everton,Huddersfield,2,0,H,0.0,0.0,D,2017-18,H
9428,E0,2/12/2017,Leicester,Burnley,1,0,H,1.0,0.0,H,2017-18,H
9429,E0,2/12/2017,Stoke,Swansea,2,1,H,2.0,1.0,H,2017-18,H
9430,E0,2/12/2017,Watford,Tottenham,1,1,D,1.0,1.0,D,2017-18,A
9431,E0,2/12/2017,West Brom,Crystal Palace,0,0,D,0.0,0.0,D,2017-18,H
9432,E0,3/12/2017,Bournemouth,Southampton,1,1,D,1.0,0.0,H,2017-18,A
9433,E0,3/12/2017,Man City,West Ham,2,1,H,0.0,1.0,A,2017-18,H
9434,E0,9/12/2017,Burnley,Watford,1,0,H,1.0,0.0,H,2017-18,H
9435,E0,9/12/2017,Crystal Palace,Bournemouth,2,2,D,2.0,2.0,D,2017-18,D
9436,E0,9/12/2017,Huddersfield,Brighton,2,0,H,2.0,0.0,H,2017-18,H
9437,E0,9/12/2017,Newcastle,Leicester,2,3,A,1.0,1.0,D,2017-18,A
9438,E0,9/12/2017,Swansea,West Brom,1,0,H,0.0,0.0,D,2017-18,H
9439,E0,9/12/2017,Tottenham,Stoke,5,1,H,1.0,0.0,H,2017-18,H
9440,E0,9/12/2017,West Ham,Chelsea,1,0,H,1.0,0.0,H,2017-18,H
9441,E0,10/12/2017,Liverpool,Everton,1,1,D,1.0,0.0,H,2017-18,H
9442,E0,10/12/2017,Man United,Man City,1,2,A,1.0,1.0,D,2017-18,A
9443,E0,10/12/2017,Southampton,Arsenal,1,1,D,1.0,0.0,H,2017-18,D
9444,E0,12/12/2017,Burnley,Stoke,1,0,H,0.0,0.0,D,2017-18,D
9445,E0,12/12/2017,Crystal Palace,Watford,2,1,H,0.0,1.0,A,2017-18,D
9446,E0,12/12/2017,Huddersfield,Chelsea,1,3,A,0.0,2.0,A,2017-18,A
9447,E0,13/12/17,Liverpool,West Brom,0,0,D,0.0,0.0,D,2017-18,A
9448,E0,13/12/17,Man United,Bournemouth,1,0,H,1.0,0.0,H,2017-18,H
9449,E0,13/12/17,Newcastle,Everton,0,1,A,0.0,1.0,A,2017-18,D
9450,E0,13/12/17,Southampton,Leicester,1,4,A,0.0,3.0,A,2017-18,H
9451,E0,13/12/17,Swansea,Man City,0,4,A,0.0,2.0,A,2017-18,A
9452,E0,13/12/17,Tottenham,Brighton,2,0,H,1.0,0.0,H,2017-18,H
9453,E0,13/12/17,West Ham,Arsenal,0,0,D,0.0,0.0,D,2017-18,A
9454,E0,16/12/17,Arsenal,Newcastle,1,0,H,1.0,0.0,H,2017-18,H
9455,E0,16/12/17,Brighton,Burnley,0,0,D,0.0,0.0,D,2017-18,H
9456,E0,16/12/17,Chelsea,Southampton,1,0,H,1.0,0.0,H,2017-18,H
9457,E0,16/12/17,Leicester,Crystal Palace,0,3,A,0.0,2.0,A,2017-18,D
9458,E0,16/12/17,Man City,Tottenham,4,1,H,1.0,0.0,H,2017-18,H
9459,E0,16/12/17,Stoke,West Ham,0,3,A,0.0,1.0,A,2017-18,H
9460,E0,16/12/17,Watford,Huddersfield,1,4,A,0.0,2.0,A,2017-18,A
