Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;B365H;B365D;B365A;BWH;BWD;BWA;GBH;GBD;GBA;IWH;IWD;IWA;LBH;LBD;LBA;SBH;SBD;SBA;WHH;WHD;WHA;SJH;SJD;SJA;VCH;VCD;VCA
30.09.2006;Nurnberg;Mainz;1;1;D;166;34;55;17;345;45;17;35;48;175;33;42;167;34;433;165;34;50;172;31;45;162;35;50;165;325;50
30.09.2006;Werder Bremen;M'gladbach;3;0;H;14;433;75;145;385;65;145;40;70;145;39;60;144;36;65;14;40;75;15;34;60;15;375;60;15;36;55
30.09.2006;Wolfsburg;Bayern Munich;1;0;H;55;36;161;525;35;16;525;36;165;45;35;165;50;325;162;50;36;16;55;35;153;50;333;167;55;325;155
01.10.2006;Hertha;Stuttgart;2;2;D;22;32;34;20;325;34;20;33;36;20;32;33;191;32;35;20;325;34;195;31;35;191;325;375;20;325;325
01.10.2006;Leverkusen;Schalke 04;3;1;H;24;32;287;245;315;265;24;32;29;24;31;27;25;32;25;238;33;265;25;29;262;25;32;26;235;32;26
13.10.2006;Mainz;Aachen;1;3;A;205;325;35;19;33;37;195;325;375;20;32;33;19;32;35;20;32;345;20;30;34;183;34;38;20;31;33
14.10.2006;Bayern Munich;Hertha;4;2;H;144;40;75;145;39;65;145;40;70;145;39;60;144;36;65;145;40;625;15;33;65;15;34;70;145;36;65
14.10.2006;Bochum;Werder Bremen;0;6;A;475;35;172;425;34;175;45;33;18;38;32;185;375;325;18;435;33;175;40;31;18;40;34;18;45;325;165
14.10.2006;Hamburg;Schalke 04;1;2;A;23;31;31;23;31;29;235;325;29;25;30;27;24;325;25;23;325;28;225;30;287;238;30;288;23;31;27
14.10.2006;Hannover;Ein Frankfurt;1;1;D;21;32;35;21;315;325;21;32;35;21;31;32;21;32;30;22;32;30;22;30;30;20;32;35;21;30;32
14.10.2006;M'gladbach;Wolfsburg;3;1;H;183;33;433;17;34;46;185;33;425;185;32;38;18;32;40;17;33;475;18;31;40;183;325;40;175;31;435
14.10.2006;Stuttgart;Leverkusen;3;0;H;237;325;287;225;315;295;23;32;30;23;31;28;22;325;275;225;325;285;225;30;287;225;325;288;225;31;28
15.10.2006;Cottbus;Dortmund;2;3;A;287;325;237;28;32;235;28;32;245;255;31;255;26;32;237;28;33;225;29;29;23;26;32;25;275;31;225
15.10.2006;Nurnberg;Bielefeld;1;1;D;172;34;50;165;34;50;17;34;50;175;33;42;166;325;45;175;33;435;166;31;50;16;34;55;175;32;435
20.10.2006;Dortmund;Bochum;1;1;D;144;40;75;145;39;65;145;40;70;15;38;55;14;375;70;14;39;75;144;35;70;15;36;65;145;36;65
21.10.2006;Aachen;Cottbus;1;2;A;183;33;433;17;34;46;18;33;45;18;32;40;18;325;375;18;34;40;183;30;40;183;35;375;175;33;45
21.10.2006;Bielefeld;Mainz;1;0;H;20;33;36;215;32;31;21;32;34;21;30;33;20;32;32;21;32;32;205;29;34;183;35;375;20;31;34
21.10.2006;Hertha;M'gladbach;2;1;H;172;35;475;16;36;50;17;34;50;17;33;45;172;32;433;17;34;45;17;32;45;173;35;425;165;34;45
21.10.2006;Schalke 04;Hannover;2;1;H;144;40;75;15;375;60;147;375;675;15;38;55;14;375;70;15;375;60;15;33;65;15;375;60;14;38;70
21.10.2006;Werder Bremen;Bayern Munich;3;1;H;24;32;287;24;32;27;24;32;28;24;31;27;24;325;25;238;325;27;237;30;27;22;32;30;235;31;275
21.10.2006;Wolfsburg;Stuttgart;1;1;D;25;32;275;26;315;25;25;32;27;255;31;255;25;325;24;24;325;265;262;29;25;238;32;275;235;30;275
22.10.2006;Ein Frankfurt;Nurnberg;2;2;D;23;325;30;22;30;32;22;32;32;22;30;31;21;32;30;225;32;29;225;28;31;238;32;275;225;325;275
