,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HomeElo,AwayElo,HomeAttack,HomeDefend,AwayAttack,AwayDefend,HomeAttackOld,HomeDefendOld,AwayAttackOld,AwayDefendOld,HomeEloOld,AwayEloOld
40,23.09.2006,Mainz,Hertha,1.0,1.0,D,0.0,0.0,D,17.0,12.0,11.0,9.0,17.0,16.0,3.0,3.0,1.0,1.0,0.0,0.0,10,42,0.8950169086456299,-1.1373286247253418,1.5599880814552307,-0.3916204869747162,0.6331462860107422,-1.4044151306152344,1.9234466552734375,-0.005596160888671875,9.712256316680026,43.88065909627727
41,23.09.2006,Schalke 04,Wolfsburg,2.0,0.0,H,0.0,0.0,D,23.0,10.0,12.0,5.0,12.0,25.0,7.0,4.0,3.0,2.0,0.0,0.0,34,-26,1.3626535534858704,-0.41339683532714844,0.13483190536499023,-1.5574255213141441,0.8131279945373535,-0.7211170196533203,0.29841041564941406,-1.1644115447998047,18.295320560072682,-10.575011277845372
42,23.09.2006,Stuttgart,Ein Frankfurt,1.0,1.0,D,0.0,0.0,D,21.0,12.0,10.0,5.0,17.0,11.0,8.0,7.0,0.0,1.0,0.0,0.0,-18,17,1.6438210904598236,-1.7965216636657715,1.353687584400177,-0.7111898250877857,1.9634473323822021,-2.419475555419922,1.7252044677734375,-0.6666679382324219,-19.703981443961766,19.03102143445144
43,24.09.2006,Bochum,Bielefeld,2.0,1.0,H,0.0,1.0,A,13.0,17.0,7.0,12.0,21.0,18.0,2.0,5.0,2.0,1.0,0.0,0.0,-8,-10,1.2349749207496643,-1.06682088971138,1.2463749907910824,-1.6813806220889091,0.6434006690979004,-1.1884262561798096,1.4075641632080078,-1.3372039794921875,-19.219133521185764,0.5089109285676336
44,24.09.2006,Cottbus,Nurnberg,1.0,1.0,D,0.0,1.0,A,12.0,18.0,5.0,12.0,23.0,19.0,6.0,5.0,2.0,2.0,0.0,0.0,17,9,1.3709588050842285,-0.6559040546417236,0.9492693841457367,-0.5424129366874695,1.461944580078125,-0.4194488525390625,0.8500118255615234,-0.3420524597167969,18.237321433085686,9.654198805238206
45,29.09.2006,Dortmund,Hannover,2.0,2.0,D,1.0,0.0,H,13.0,17.0,9.0,8.0,20.0,15.0,3.0,4.0,2.0,2.0,0.0,0.0,9,-17,1.1830600015819073,-1.2719572968780994,1.3991474970243871,-2.07824399555102,0.6852564811706543,-0.613737165927887,0.8930274546146393,-1.9618023931980133,10.301558534734838,-18.773475191059433
46,30.09.2006,Aachen,Bochum,2.0,1.0,H,0.0,1.0,A,12.0,21.0,8.0,11.0,21.0,14.0,2.0,6.0,3.0,2.0,0.0,0.0,19,-18,2.1534529333002865,-1.403710249811411,1.0963955442421138,-1.3975814394070767,2.0588888712227345,-1.6929313838481903,1.2349749207496643,-1.06682088971138,9.887530123225154,-8.651924222136206
47,30.09.2006,Bielefeld,Cottbus,3.0,1.0,H,0.0,1.0,A,10.0,11.0,5.0,8.0,16.0,27.0,2.0,4.0,2.0,2.0,0.0,0.0,19,0,2.196996362414211,-1.3794930381700397,1.1844126234063879,-1.635315488849301,1.2463749907910824,-1.6813806220889091,1.3709588050842285,-0.6559040546417236,0.5089109285676336,17.990329549591774
48,30.09.2006,Ein Frankfurt,Hamburg,2.0,2.0,D,1.0,0.0,H,14.0,9.0,8.0,8.0,21.0,20.0,4.0,1.0,0.0,3.0,0.0,0.0,18,1,1.7302282489836216,-1.3611477469094098,1.2465860004886054,-1.3628539252094924,1.353687584400177,-0.7111898250877857,0.6667671501636505,-0.9266119301319122,19.03102143445144,0.7399636711739277
49,30.09.2006,Nurnberg,Mainz,1.0,1.0,D,1.0,0.0,H,11.0,11.0,5.0,7.0,19.0,18.0,4.0,3.0,2.0,1.0,1.0,0.0,9,10,0.9511272870004177,-0.7271309718489647,0.9684941964223981,-1.0919394795782864,0.9492693841457367,-0.5424129366874695,0.8950169086456299,-1.1373286247253418,9.654198805238206,10.69254370512351
