,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,PointsLast3MatchesHT,PointsLast3MatchesAT,PointsLast5MatchesHT,PointsLast5MatchesAT,PointsLast10MatchesHT,PointsLast10MatchesAT,PointsLastAllMatchesHT,PointsLastAllMatchesAT,PDiff3Matches,PQuot3Matches,PDiff5Matches,PQuot5Matches,PDiff10Matches,PQuot10Matches,PDiffAllMatches,PQuotAllMatches,MarketValueHT,MarketValueAT,MarketValueDiff,MarketValueQuot,HomeElo,AwayElo,HomeAttack,HomeDefend,AwayAttack,AwayDefend,HomeEloOld,AwayEloOld,HomeAttackOld,HomeDefendOld,AwayAttackOld,AwayDefendOld,DiffEloOld,DiffAttackOld,DiffDefendOld,DiffElo,DiffAttack,DiffDefend,QuotEloOld,QuotAttackOld,QuotDefendOld,QuotElo,QuotAttack,QuotDefend,DirectComparisonHG,DirectComparisonAG,DirectComparisonGoalDiff,DirectComparisonGoalQuot,ProbAwayWin,ProbDraw,ProbHomeWin,predictedResults
4470,05/02/2022,Bayern Munich,RB Leipzig,3,2,2,2,1,H,25,13,8,7,11,12,2,0,1,3,0,0,6.0,9.0,12.0,10.0,24.0,16.0,49,31,-3.0,0.6666666666666666,2.0,1.2,8.0,1.5,18,1.5806451612903225,852.9,505.55,347.35,1.6870734843240034,2077.061897104256,1906.737984997036,3.792574608411182,-1.1259316413680591,2.3197147437091057,-1.3764334973511607,2071.3406892055496,1912.4591928957425,3.78028107694671,-0.668836609830531,2.3367299182081807,-0.5608085174440935,158.8814963098073,1.4435511587385292,-0.1080280923864374,170.32391210722017,1.4728598647020763,0.2505018559831016,1.083077064807452,1.6177655138876526,1.1926291934344713,1.0893273818675642,1.6349314581443095,0.8180065680868905,1.8,1.0,0.8,1.8,0.02606289,0.05142934,0.9225078,2
4471,06/02/2022,Dortmund,Leverkusen,2,5,0,1,3,A,14,10,6,7,8,10,7,6,1,1,0,0,9.0,7.0,12.0,8.0,19.0,18.0,43,35,2.0,1.2857142857142858,4.0,1.5,1.0,1.0555555555555556,8,1.2285714285714286,565.9,352.75,213.15,1.6042523033309708,1970.348943046916,1869.323391947522,3.155821114241756,-3.033258245018596,4.475967596255885,-1.5590718476666916,1983.8770363704543,1855.7952986239832,3.754449618609821,-1.6068531526323806,3.768199803013136,-1.525679179115058,128.08173774647116,-0.0137501844033147,-0.0811739735173227,101.02555109939362,-1.320146482014129,-1.474186397351904,1.0690171689956538,0.996350993810806,1.053205139473953,1.0540439131798067,0.7050589724737011,1.9455538560061696,3.0,2.0,1.0,1.5,0.03529009,0.068240464,0.8964695,2
4472,06/02/2022,Wolfsburg,Greuther Furth,4,1,2,1,1,D,11,8,6,4,11,13,2,3,1,2,0,0,1.0,5.0,1.0,6.0,5.0,9.0,21,10,-4.0,0.2,-5.0,0.1666666666666666,-4.0,0.5555555555555556,11,2.1,287.75,39.23,248.52,7.334947744073414,1761.741371482893,1049.7057683003768,1.7268910059722555,-1.3099339033127413,1.1598570386465976,-2.578146119590315,1761.171636358519,1050.275503424751,-0.1828919919366,-1.5594458537998068,1.3177580424971045,-1.2704119925389552,710.8961329337681,-1.5006500344337046,-0.2890338612608516,712.0356031825163,0.5670339673256579,1.2682122162775735,1.676866337085526,-0.1387902680449791,1.227511911850902,1.6783192249532966,1.4888826367664354,0.5080914124141648,1.3333333333333333,0.3333333333333333,1.0,4.0,0.29268077,0.24890746,0.45841175,2
4473,11/02/2022,RB Leipzig,FC Koln,3,1,2,1,0,H,6,9,4,2,6,11,5,6,1,2,0,0,6.0,4.0,9.0,10.0,13.0,18.0,31,32,2.0,1.5,-1.0,0.9,-5.0,0.7222222222222222,-1,0.96875,505.55,76.66,428.89,6.594703887294548,1920.0392121141745,1701.3041241046988,2.7967424465190787,-1.2063723171183112,1.1186965539910323,-1.9158035356806773,1912.4591928957425,1708.884143323131,2.3197147437091057,-1.3764334973511607,1.2311889498093138,-1.2246341463929,203.5750495726113,1.088525793899792,-0.1517993509582607,218.7350880094757,1.6780458925280464,0.7094312185623664,1.11912747295831,1.884125701476108,1.1239548573795517,1.1285690694040866,2.500000948909241,0.629695213862152,2.0,1.2,0.8,1.6666666666666667,0.097562894,0.1556327,0.7468045,2
4474,12/02/2022,Bochum,Bayern Munich,4,2,2,4,1,H,12,22,7,4,13,7,4,9,2,1,0,0,2.0,9.0,5.0,12.0,12.0,24.0,25,52,-7.0,0.2222222222222222,-7.0,0.4166666666666667,-12.0,0.5,-27,0.4807692307692308,36.9,852.9,-816.0,0.0432641575800211,1331.346882097999,2018.5748262848192,2.316577759366649,-1.3085939592570082,3.2067848853498626,-2.4141350559342056,1272.8598112785623,2077.061897104256,0.7317107432602501,-1.2522652564934496,3.792574608411182,-1.1259316413680591,-804.2020858256935,-3.060863865150932,-0.1263336151253904,-687.2279441868202,-0.8902071259832134,1.1055410966771977,0.6128174673336048,0.1929324585039039,1.1122036280745156,0.6595479467800254,0.722398864342255,0.542054992342016,1.0,4.2,-3.2,0.238095238095238,0.6490326,0.15623069,0.19473675,0
4475,12/02/2022,Ein Frankfurt,Wolfsburg,0,2,0,0,1,A,16,11,2,3,12,9,10,1,1,2,0,0,4.0,4.0,7.0,4.0,19.0,5.0,31,24,0.0,1.0,3.0,1.75,14.0,3.8,7,1.2916666666666667,231.25,287.75,-56.5,0.8036490008688097,1830.8320198555764,1774.0420690876351,0.9438976387404456,-2.007291875035274,1.8283953943532505,-0.7007214847279075,1843.1327174603184,1761.741371482893,1.7722230026472612,-1.9570452012508897,1.7268910059722555,-1.3099339033127413,81.39134597742532,0.0453319966750056,-0.6471112979381484,56.789950767941264,-0.8844977556128049,-1.3065703903073664,1.0461993725610907,1.026250641481269,1.4940030151915635,1.0320116144692937,0.5162437193046672,2.8646072923177344,1.6,1.8,-0.1999999999999999,0.888888888888889,0.07882078,0.1640417,0.7571375,2
4476,12/02/2022,Freiburg,Mainz,1,1,1,0,1,A,16,20,5,5,14,15,7,3,0,2,0,0,3.0,6.0,7.0,6.0,11.0,13.0,33,30,-3.0,0.5,1.0,1.1666666666666667,-2.0,0.8461538461538461,3,1.1,125.15,100.5,24.65000000000001,1.245273631840796,1809.8372949813383,1772.615584062368,1.0023661806469295,-1.202741480832783,1.2655175157752463,-0.8355257470736319,1810.968894480847,1771.4839845628596,0.9512487753245272,-1.417461633613843,1.4653763214069506,-0.737314431447197,39.48490991798735,-0.5141275460824235,-0.680147202166646,37.22171091897053,-0.2631513351283165,-0.367215733759151,1.02228917126097,0.6491498200347644,1.922465603761012,1.0209981855364647,0.7920602979824328,1.4395025946780184,1.2,1.0,0.1999999999999999,1.2,0.20909272,0.25691402,0.53399324,2
4477,12/02/2022,Greuther Furth,Hertha,2,1,2,1,0,H,19,24,10,8,11,12,8,8,2,4,0,0,4.0,2.0,6.0,5.0,9.0,10.0,10,23,2.0,2.0,1.0,1.2,-1.0,0.9,-13,0.4347826086956521,39.23,137.05,-97.82000000000002,0.2862458956585187,1069.8585766039257,1699.420835328047,1.469335887136249,-1.9954564299634237,0.8299924201571884,-2.0942068241973413,1050.275503424751,1719.0039085072217,1.1598570386465976,-2.578146119590315,0.9270791582441862,-2.0445980961429955,-668.7284050824705,0.2327778804024114,-0.5335480234473193,-629.562258724121,0.6393434669790605,0.0987503942339178,0.6109791247285804,1.2510873837820646,1.2609549644273972,0.6295430504107044,1.770300368355145,0.9528459209028858,1.0,1.1,-0.1,0.9090909090909092,0.44646686,0.21559781,0.33793536,0
4478,12/02/2022,M'gladbach,Augsburg,3,2,2,1,0,H,14,14,5,8,8,12,3,2,2,2,0,0,1.0,4.0,5.0,5.0,8.0,13.0,23,22,-3.0,0.25,0.0,1.0,-5.0,0.6153846153846154,1,1.0454545454545454,300.0,97.1,202.9,3.0895983522142125,1824.869001396415,1725.2446254688173,2.0128545618429663,-1.7839199885415613,1.6502253101513698,-2.19376776503003,1817.2512437878363,1732.862383077396,1.1230871662320745,-1.5337008804565988,1.397144493950504,-1.5125993364166408,84.38886071044044,-0.2740573277184295,-0.021101544039958,99.6243759275976,0.3626292516915965,0.4098477764884685,1.0486991128288987,0.8038446782669435,1.0139505178482675,1.0577450724708246,1.2197452974820353,0.8131763156421171,2.0,1.6,0.3999999999999999,1.25,0.17006834,0.23415126,0.59578043,2
4479,12/02/2022,Leverkusen,Stuttgart,4,2,2,1,0,H,20,8,6,5,10,6,10,0,3,2,0,0,9.0,0.0,10.0,1.0,20.0,8.0,38,18,9.0,inf,9.0,10.0,12.0,2.5,20,2.111111111111111,352.75,169.63,183.12,2.0795260272357483,1864.5931227619135,1674.7531934888557,4.488855328207144,-1.8958725732354864,1.155752586126542,-2.9820151812380287,1855.7952986239832,1683.551017626786,4.475967596255885,-1.5590718476666916,0.6283786524495647,-2.4689953556222743,172.24428099719717,3.8475889438063207,0.9099235079555829,189.83992927305823,3.333102742080602,1.086142608002542,1.1023101047689077,7.123042100185187,0.6314600163651383,1.113353973595108,3.883924104596954,0.6357689206828204,2.4,0.8,1.6,3.0,0.026621383,0.054074913,0.9193037,2
4480,13/02/2022,Union Berlin,Dortmund,0,3,0,0,2,A,12,10,2,6,20,9,2,5,4,1,0,0,6.0,6.0,10.0,9.0,17.0,19.0,34,43,0.0,1.0,1.0,1.1111111111111112,-2.0,0.8947368421052632,-9,0.7906976744186046,77.8,565.9,-488.1,0.1374801201625728,1672.7666699410242,1973.450899112,0.1609262189386903,-1.9345343920296885,3.2305713973973864,-1.875670625769286,1675.8686260061086,1970.348943046916,0.8641335993056235,-1.326419250095853,3.155821114241756,-3.033258245018596,-294.480317040807,-2.2916875149361324,1.7068389949227427,-300.68422917097564,-3.069645178458696,-0.0588637662604025,0.8505440784587995,0.2738221109574037,0.4372918963540874,0.84763531268689,0.0498135466277995,1.031382784083565,1.4,2.6,-1.2000000000000002,0.5384615384615384,0.69777626,0.13800113,0.16422269,0
4481,13/02/2022,Hoffenheim,Bielefeld,2,0,2,1,0,H,25,8,9,4,12,12,13,3,2,0,0,0,0.0,5.0,4.0,9.0,17.0,14.0,31,22,-5.0,0.0,-5.0,0.4444444444444444,3.0,1.2142857142857142,9,1.4090909090909092,207.65,53.45,154.2,3.8849391955098223,1859.3687222116032,1280.55546245059,1.6320212240157557,-1.093035178526797,0.8131173512960166,-1.362635305800152,1858.4133511989205,1281.5108334632723,1.192558105241888,-2.0527752451986725,1.519594797778986,-0.9066207340833944,576.902517735648,-0.327036692537098,-1.146154511115278,578.8132597610133,0.8189038727197391,0.269600127273355,1.4501737345259686,0.7847869096320352,2.264205050719533,1.4520017107680308,2.007116465310326,0.8021479950462289,1.2,0.2,1.0,5.999999999999999,0.23954579,0.25498646,0.5054677,2
4482,18/02/2022,Mainz,Leverkusen,3,2,2,0,1,A,17,8,5,6,15,13,6,2,2,2,0,0,4.0,9.0,7.0,13.0,13.0,20.0,31,41,-5.0,0.4444444444444444,-6.0,0.5384615384615384,-7.0,0.65,-10,0.7560975609756098,100.5,352.75,-252.25,0.2849043231750531,1784.1015166036543,1851.975590721119,2.0539643757050934,-0.9610966758951268,3.685397495642574,-2.4281748113090424,1771.4839845628596,1864.5931227619135,1.2655175157752463,-0.8355257470736319,4.488855328207144,-1.8958725732354864,-93.10913819905409,-3.2233378124318977,1.0603468261618547,-67.87407411746472,-1.6314331199374807,1.4670781354139155,0.9500646349799162,0.281924326636897,0.44070775582123,0.9633504488625382,0.5573250587307329,0.3958103310432556,0.4,1.2,-0.7999999999999999,0.3333333333333333,0.7734798,0.10783046,0.1186897,0
4483,19/02/2022,Augsburg,Freiburg,1,2,0,1,2,A,18,15,4,5,11,8,11,4,1,1,0,0,3.0,4.0,4.0,5.0,10.0,12.0,22,34,-1.0,0.75,-1.0,0.8,-2.0,0.8333333333333334,-12,0.6470588235294118,97.1,125.15,-28.05000000000001,0.7758689572512983,1725.0423473785036,1817.6573306802309,1.3810481337405085,-2.2458090805629025,1.3457527278339685,-1.0790824088029258,1732.862383077396,1809.8372949813383,1.6502253101513698,-2.19376776503003,1.0023661806469295,-1.202741480832783,-76.97491190394271,0.64785912950444,-0.9910262841972468,-92.6149833017273,0.03529540590654,-1.166726671759977,0.9574686011182368,1.6463297964485497,1.8239728154308408,0.949047060885196,1.02622725941886,2.0812211025238363,0.6,1.6,-1.0,0.3749999999999999,0.35505432,0.22781613,0.41712955,2
4484,19/02/2022,Bielefeld,Union Berlin,1,0,2,0,0,D,11,11,3,4,6,15,6,4,0,2,0,0,4.0,3.0,6.0,7.0,13.0,14.0,22,34,1.0,1.3333333333333333,-1.0,0.8571428571428571,-1.0,0.9285714285714286,-12,0.6470588235294118,53.45,77.8,-24.349999999999994,0.6870179948586119,1299.6077216230522,1654.6697817812446,0.7663815455562993,-0.8315312887577588,-0.0033625242580384,-1.6132863018240178,1281.5108334632723,1672.7666699410242,0.8131173512960166,-1.362635305800152,0.1609262189386903,-1.9345343920296885,-391.2558364777517,0.6521911323573263,0.5718990862295363,-355.0620601581925,0.7697440698143377,0.7817550130662589,0.7661025631915861,5.0527338345394055,0.7043737818331018,0.7854181758393087,-227.91851797773612,0.5154269814462633,0.0,2.0,-2.0,0.0,0.3796617,0.23161788,0.38872036,1
4485,19/02/2022,Stuttgart,Bochum,1,1,1,0,0,D,15,13,7,5,7,17,6,0,0,4,0,0,0.0,5.0,1.0,8.0,8.0,15.0,18,28,-5.0,0.0,-7.0,0.125,-7.0,0.5333333333333333,-10,0.6428571428571429,169.63,36.9,132.73,4.597018970189702,1675.8780344603358,1339.0198652644492,1.0587711214219628,-2.0741872683529365,1.6885876910600386,-1.1855248343578848,1683.551017626786,1331.346882097999,1.155752586126542,-2.9820151812380287,2.316577759366649,-1.3085939592570082,352.204135528787,-1.1608251732401071,-1.6734212219810205,336.8581691958866,-0.6298165696380758,-0.8886624339950517,1.2645472342818478,0.4989051550087073,2.27879332633566,1.25157070326911,0.6270157759809927,1.749594110760554,1.4,0.4,1.0,3.5,0.48354015,0.20778008,0.3086798,0
4486,19/02/2022,Wolfsburg,Hoffenheim,1,2,0,1,0,H,14,10,6,4,10,17,5,2,1,2,0,0,6.0,3.0,7.0,6.0,7.0,17.0,27,34,3.0,2.0,1.0,1.1666666666666667,-10.0,0.4117647058823529,-7,0.7941176470588235,287.75,207.65,80.1,1.3857452444016374,1754.479620440817,1866.6304732536796,1.506117724154932,-1.2339482749529729,1.8657697306407257,-0.9948822710598816,1761.741371482893,1859.3687222116032,1.8283953943532505,-0.7007214847279075,1.6320212240157557,-1.093035178526797,-97.6273507287101,0.1963741703374948,0.3923136937988896,-112.15085281286248,-0.3596520064857937,-0.2390660038930909,0.9474943567876152,1.1203257454301336,0.6410786207927419,0.9399180210438892,0.8072366591764326,1.2402957725223165,1.6,1.8,-0.1999999999999999,0.888888888888889,0.23007603,0.24946913,0.5204548,2
4487,19/02/2022,FC Koln,Ein Frankfurt,1,0,2,0,0,D,13,10,8,2,9,16,5,6,1,2,0,0,4.0,3.0,7.0,4.0,17.0,16.0,32,31,1.0,1.3333333333333333,3.0,1.75,1.0,1.0625,1,1.032258064516129,76.66,231.25,-154.59,0.3315027027027027,1722.256712922565,1817.4594502561424,0.948273861864986,-1.0793900049578675,0.4550122735930451,-1.636023189163923,1708.884143323131,1830.8320198555764,1.1186965539910323,-1.9158035356806773,0.9438976387404456,-2.007291875035274,-121.94787653244543,0.1747989152505866,0.0914883393545964,-95.20273733357747,0.4932615882719409,0.5566331842060552,0.933392099761252,1.185188423062316,0.9544220048452152,0.9476176828483518,2.084062160294835,0.6597644899577992,1.4,1.4,0.0,1.0,0.34478682,0.23830073,0.4169124,2
