Rank,Club,Country,Level,Elo,From,To
None,Lautern,FRG,1,1868.14001465,1954-09-06,1954-09-12
None,Lautern,FRG,1,1870.32629395,1954-09-13,1954-09-19
None,Lautern,FRG,1,1870.62939453,1954-09-20,1954-09-27
None,Lautern,FRG,1,1846.62939453,1954-09-28,1954-10-03
None,Lautern,FRG,1,1848.80432129,1954-10-04,1954-10-10
None,Lautern,FRG,1,1852.71020508,1954-10-11,1954-10-17
None,Lautern,FRG,1,1825.71020508,1954-10-18,1954-10-24
None,Lautern,FRG,1,1828.81201172,1954-10-25,1954-10-31
None,Lautern,FRG,1,1815.39196777,1954-11-01,1954-11-07
None,Lautern,FRG,1,1819.12426758,1954-11-08,1954-11-14
None,Lautern,FRG,1,1811.15429688,1954-11-15,1954-12-02
None,Lautern,FRG,1,1797.15429688,1954-12-03,1954-12-05
None,Lautern,FRG,1,1801.38427734,1954-12-06,1954-12-12
None,Lautern,FRG,1,1794.68127441,1954-12-13,1954-12-22
None,Lautern,FRG,1,1800.68127441,1954-12-23,1954-12-26
None,Lautern,FRG,1,1804.33374023,1954-12-27,1955-01-09
None,Lautern,FRG,1,1806.08679199,1955-01-10,1955-01-16
None,Lautern,FRG,1,1807.58032227,1955-01-17,1955-01-23
None,Lautern,FRG,1,1801.5682373,1955-01-24,1955-01-30
None,Lautern,FRG,1,1802.81262207,1955-01-31,1955-02-06
None,Lautern,FRG,1,1805.71020508,1955-02-07,1955-02-09
None,Lautern,FRG,1,1806.21044922,1955-02-10,1955-02-13
None,Lautern,FRG,1,1807.2331543,1955-02-14,1955-02-20
None,Lautern,FRG,1,1808.39953613,1955-02-21,1955-03-06
None,Lautern,FRG,1,1795.68212891,1955-03-07,1955-03-20
None,Lautern,FRG,1,1797.87097168,1955-03-21,1955-03-27
None,Lautern,FRG,1,1790.3503418,1955-03-28,1955-03-31
None,Lautern,FRG,1,1774.3503418,1955-04-01,1955-04-03
None,Lautern,FRG,1,1779.16711426,1955-04-04,1955-04-10
None,Lautern,FRG,1,1779.75976562,1955-04-11,1955-04-17
None,Lautern,FRG,1,1780.66259766,1955-04-18,1955-04-24
None,Lautern,FRG,1,1767.28991699,1955-04-25,1955-05-15
None,Lautern,FRG,1,1774.05969238,1955-05-16,1955-05-19
None,Lautern,FRG,1,1767.70690918,1955-05-20,1955-05-22
None,Lautern,FRG,1,1764.13269043,1955-05-23,1955-05-29
None,Lautern,FRG,1,1765.13269043,1955-05-30,1955-05-30
None,Lautern,FRG,1,1757.1652832,1955-05-31,1955-06-05
None,Lautern,FRG,1,1765.04711914,1955-06-06,1955-06-12
None,Lautern,FRG,1,1770.11291504,1955-06-13,1955-06-26
None,Lautern,FRG,1,1763.43017578,1955-06-27,1955-08-22
None,Lautern,FRG,1,1749.43017578,1955-08-23,1955-08-28
None,Lautern,FRG,1,1754.75598145,1955-08-29,1955-09-04
None,Lautern,FRG,1,1755.47717285,1955-09-05,1955-09-11
None,Lautern,FRG,1,1761.34411621,1955-09-12,1955-09-14
None,Lautern,FRG,1,1652.36547852,1955-09-15,1955-09-18
None,Lautern,FRG,1,1653.79394531,1955-09-19,1955-10-02
None,Lautern,FRG,1,1656.85876465,1955-10-03,1955-10-09
None,Lautern,FRG,1,1657.578125,1955-10-10,1955-10-12
None,Lautern,FRG,1,1692.38891602,1955-10-13,1955-10-16
None,Lautern,FRG,1,1695.14147949,1955-10-17,1955-10-23
None,Lautern,FRG,1,1698.2298584,1955-10-24,1955-10-30
None,Lautern,FRG,1,1692.14550781,1955-10-31,1955-11-01
None,Lautern,FRG,1,1730.00744629,1955-11-02,1955-11-06
None,Lautern,FRG,1,1743.94335938,1955-11-07,1955-11-13
None,Lautern,FRG,1,1744.67895508,1955-11-14,1955-11-23
None,Lautern,FRG,1,1698.46838379,1955-11-24,1955-11-27
None,Lautern,FRG,1,1700.37426758,1955-11-28,1955-12-04
None,Lautern,FRG,1,1701.26464844,1955-12-05,1955-12-11
None,Lautern,FRG,1,1705.57092285,1955-12-12,1955-12-26
None,Lautern,FRG,1,1702.87194824,1955-12-27,1956-01-08
None,Lautern,FRG,1,1703.77185059,1956-01-09,1956-01-15
None,Lautern,FRG,1,1708.51721191,1956-01-16,1956-01-22
None,Lautern,FRG,1,1709.64306641,1956-01-23,1956-01-29
None,Lautern,FRG,1,1714.96008301,1956-01-30,1956-02-05
None,Lautern,FRG,1,1716.14575195,1956-02-06,1956-02-12
None,Lautern,FRG,1,1718.85217285,1956-02-13,1956-02-19
None,Lautern,FRG,1,1720.01086426,1956-02-20,1956-02-26
None,Lautern,FRG,1,1707.80810547,1956-02-27,1956-03-04
None,Lautern,FRG,1,1708.66308594,1956-03-05,1956-03-11
None,Lautern,FRG,1,1711.19714355,1956-03-12,1956-03-18
None,Lautern,FRG,1,1713.4753418,1956-03-19,1956-03-25
None,Lautern,FRG,1,1681.31994629,1956-03-26,1956-04-08
